bruno;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;22.8;23.7;21.0;11.9;None;None;None;C;b
