bruno;06/03/2020, 00:00:06;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;06/03/2020, 00:01:06;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;06/03/2020, 00:02:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:03:07;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:04:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:05:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:06:07;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:07:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:08:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:09:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:10:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:11:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:12:06;22.8;23.7;21.0;11.9;None;None;None;C;b
bruno;06/03/2020, 00:13:07;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:14:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:15:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:16:06;22.8;23.7;21.0;12.0;None;None;None;C;b
bruno;06/03/2020, 00:17:06;22.8;23.7;21.0;12.1;None;None;None;C;b
bruno;06/03/2020, 00:18:07;22.8;23.7;21.0;12.1;None;None;None;C;b
bruno;06/03/2020, 00:19:06;22.8;23.7;21.0;12.1;None;None;None;C;b
bruno;06/03/2020, 00:20:06;22.8;23.7;21.0;12.1;None;None;None;C;b
